"","cond","auto","use1","use2","use3","use4","value1","value2","value3","value4","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","ss","reverseCode_use4","use","value"
"111","co",4,82,78,76,28,62,80,72,55000,1,"",3,NA,33,1,"",1,39,NA,84,72,77,71.3333333333333
"112","auto",6,40,20,25,80,35,30,15,52000,2,"",3,NA,27,4,"",1,40,NA,85,20,26.25,26.6666666666667
"113","auto",5,60,71,69,51,75,63,62,25000,2,"",3,NA,49,3,"",1,74,NA,86,49,62.25,66.6666666666667
"115","auto",4,74,79,82,77,84,79,76,57000,1,"",4,NA,37,6,"",1,71,NA,87,23,64.5,79.6666666666667
"116","co",5,85,100,78,52,82,79,49,40000,2,"",3,NA,39,2,"",1,20,NA,88,48,77.75,70
"118","auto",5,45,69,42,54,71,61,61,55000,1,"",3,NA,61,4,"",1,40,NA,89,46,50.5,64.3333333333333
"119","dless",5,96,95,95,15,97,95,65,55000,2,"",3,NA,33,3,"",1,17,NA,90,85,92.75,85.6666666666667
"121","dless",6,51,70,70,51,66,35,56,80000,2,"",5,NA,22,3,"",1,10,NA,91,49,60,52.3333333333333
"122","auto",5,70,70,55,100,51,80,60,50000,1,"",2,NA,23,3,"",1,10,NA,92,0,48.75,63.6666666666667
"123","dless",6,70,61,27,64,85,91,71,51000,1,"",3,NA,45,3,"",1,60,NA,93,36,48.5,82.3333333333333
"124","co",4,60,65,45,51,55,60,55,62000,1,"",3,NA,22,1,"",1,35,NA,94,49,54.75,56.6666666666667
"125","dless",6,70,42,92,30,64,25,62,60000,1,"",3,NA,33,4,"",1,70,NA,95,70,68.5,50.3333333333333
"126","co",5,75,50,61,20,50,5,60,55000,2,"",3,NA,39,3,"",2,25,NA,96,80,66.5,38.3333333333333
"127","auto",5,45,37,38,41,60,70,50,75000,1,"",3,NA,38,5,"",1,10,NA,97,59,44.75,60
"130","auto",6,100,100,100,100,100,100,100,50000,2,"",3,NA,32,2,"",1,15,NA,99,0,75,100
"131","dless",6,35,71,85,23,95,85,75,60000,2,"",4,NA,34,3,"",2,63,NA,100,77,67,85
"132","co",2,39,20,33,72,10,0,0,50000,2,"",3,NA,47,4,"",1,40,NA,101,28,30,3.33333333333333
"133","co",4,100,100,100,2,100,100,100,50000,2,"",5,NA,32,4,"",1,73,NA,102,98,99.5,100
"135","dless",4,51,60,62,62,73,75,73,90000,2,"",3,NA,43,3,"",1,51,NA,104,38,52.75,73.6666666666667
"136","auto",4,40,65,60,70,75,80,60,35000,1,"",3,NA,39,5,"",1,30,NA,105,30,48.75,71.6666666666667
"137","dless",6,34,42,40,74,50,8,62,78000,2,"",3,NA,46,5,"",1,30,NA,106,26,35.5,40
"138","co",3,87,91,86,19,83,86,86,50000,2,"",3,NA,29,4,"",1,40,NA,107,81,86.25,85
"139","auto",6,75,80,60,45,60,80,65,65000,1,"",2,NA,19,1,"",1,30,NA,108,55,67.5,68.3333333333333
"140","co",6,41,51,35,48,50,61,53,70000,1,"",3,NA,30,4,"",1,49,NA,109,52,44.75,54.6666666666667
"141","dless",4,64,66,80,61,60,55,57,50000,1,"",3,NA,31,4,"",1,24,NA,110,39,62.25,57.3333333333333
"142","auto",5,81,81,81,19,92,71,91,50000,2,"",1,NA,72,3,"",2,40,NA,111,81,81,84.6666666666667
"143","auto",4,83,82,67,71,62,73,72,55000,1,"",3,NA,36,1,"",1,66,NA,112,29,65.25,69
"144","auto",2,65,76,71,44,56,67,69,52000,1,"",3,NA,35,5,"",1,40,NA,113,56,67,64
"145","dless",6,60,85,60,45,80,80,60,60000,4,"Non Binary",5,NA,31,2,"",1,40,NA,114,55,65,73.3333333333333
"147","co",5,27,57,24,58,80,81,86,96000,2,"",3,NA,21,4,"",1,9,NA,115,42,37.5,82.3333333333333
"149","auto",6,84,34,70,66,72,59,30,65000,1,"",3,NA,46,1,"",1,28,NA,116,34,55.5,53.6666666666667
"150","dless",6,70,30,50,70,75,70,60,48000,1,"",3,NA,62,3,"",1,50,NA,117,30,45,68.3333333333333
